query,sql,,,,,
What was the low price for KO on 2025-02-11?,SELECT low FROM stocks WHERE symbol = 'KO' AND date = '2025-02-11';,,,,,
What was the MIN open for NVDA over 2024 01 01 AND 2024 12 31?,SELECT MIN(open) FROM stocks WHERE symbol = 'NVDA' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
What was the SUM move for TSLA over 2024 01 01 AND 2024 12 31?,SELECT SUM(move) FROM stocks WHERE symbol = 'TSLA' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Plot the 100-day moving average of the volume price for KO in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-365 days');",,,,,
Find all dates where V's move price was greater than 129 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'V' AND move > 129 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Find the date and move for AAPL's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'AAPL' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days'));",,,,,
Calculate the total open for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where GOOGL's low price was greater than 51 in the last   90  days.,"SELECT date FROM stocks WHERE symbol = 'GOOGL' AND low > 51 AND date >= date('now', '-90 days');",,,,,
Find all dates where GOOGL's open price was greater than 186 in the last   90  days.,"SELECT date FROM stocks WHERE symbol = 'GOOGL' AND open > 186 AND date >= date('now', '-90 days');",,,,,
Find all dates where PG's close price was greater than 102 in the last   5 years.,"SELECT date FROM stocks WHERE symbol = 'PG' AND close > 102 AND date >= date('now', '-5 years');",,,,,
What was the move price for AMZN on 2024-01-29?,SELECT move FROM stocks WHERE symbol = 'AMZN' AND date = '2024-01-29';,,,,,
Calculate the total close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Plot the 20-day moving average of the move price for META in the last year.,"SELECT date, AVG(move) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
What was the AVG high for MSFT over 2023 01 01 AND 2023 12 31?,SELECT AVG(high) FROM stocks WHERE symbol = 'MSFT' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Show me all data for GOOGL in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Plot the 20-day moving average of the high price for META in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
Show me all data for GOOGL in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
Plot the 20-day moving average of the open price for GOOGL in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-365 days');",,,,,
Calculate the total low for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(low) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the MAX volume for KO over the last   5 years?,"SELECT MAX(volume) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-5 years');",,,,,
Find all dates where META's close price was greater than 56 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'META' AND close > 56 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Find the date and open for V's highest open price in the last year.,"SELECT date, open FROM stocks WHERE symbol = 'V' AND open = (SELECT MAX(open) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
Show me all data for TSLA in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
Find all dates where KO's move price was greater than 140 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'KO' AND move > 140 AND date >= date('now', '-365 days');",,,,,
Find the date and volume for MSFT's highest volume price in the last year.,"SELECT date, volume FROM stocks WHERE symbol = 'MSFT' AND volume = (SELECT MAX(volume) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
What was the move price for TSLA on 2023-08-07?,SELECT move FROM stocks WHERE symbol = 'TSLA' AND date = '2023-08-07';,,,,,
What was the AVG adj_close for NFLX over the last   365  days?,"SELECT AVG(adj_close) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days');",,,,,
Calculate the total volume for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(volume) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Show me all data for TSLA in the last   365  days.,"SELECT * FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-365 days') ORDER BY date ASC;",,,,,
What was the volume price for META on 2025-05-01?,SELECT volume FROM stocks WHERE symbol = 'META' AND date = '2025-05-01';,,,,,
Calculate the total open for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and close for MSFT's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'MSFT' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
Calculate the total high for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(high) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Show me all data for JPM in the last   5 years.,"SELECT * FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-5 years') ORDER BY date ASC;",,,,,
What was the close price for JPM on 2024-05-28?,SELECT close FROM stocks WHERE symbol = 'JPM' AND date = '2024-05-28';,,,,,
Find the date and high for MSFT's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'MSFT' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
What was the high price for JPM on 2024-07-29?,SELECT high FROM stocks WHERE symbol = 'JPM' AND date = '2024-07-29';,,,,,
What was the adj_close price for PG on 2025-01-05?,SELECT adj_close FROM stocks WHERE symbol = 'PG' AND date = '2025-01-05';,,,,,
Show me all data for GOOGL in the last   5 years.,"SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-5 years') ORDER BY date ASC;",,,,,
Find all dates where TSLA's volume price was greater than 146 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'TSLA' AND volume > 146 AND date >= date('now', '-365 days');",,,,,
What was the open price for V on 2025-12-10?,SELECT open FROM stocks WHERE symbol = 'V' AND date = '2025-12-10';,,,,,
Plot the 100-day moving average of the volume price for GOOGL in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-365 days');",,,,,
Find the date and close for V's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'V' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
Find all dates where AAPL's close price was greater than 63 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'AAPL' AND close > 63 AND date >= date('now', '-30 days');",,,,,
What was the SUM move for NFLX over the last   2 years?,"SELECT SUM(move) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-2 years');",,,,,
Plot the 20-day moving average of the volume price for KO in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-365 days');",,,,,
Find all dates where META's close price was greater than 144 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'META' AND close > 144 AND date >= date('now', '-30 days');",,,,,
Calculate the total adj_close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where NFLX's volume price was greater than 127 in 2023 01 01 AND 2023 12 31.,SELECT date FROM stocks WHERE symbol = 'NFLX' AND volume > 127 AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Find all dates where V's adj_close price was greater than 126 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'V' AND adj_close > 126 AND date >= date('now', '-30 days');",,,,,
Calculate the total move for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(move) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where GOOGL's open price was greater than 50 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'GOOGL' AND open > 50 AND date >= date('now', '-365 days');",,,,,
Find the date and close for NFLX's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'NFLX' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days'));",,,,,
Find the date and volume for TSLA's highest volume price in the last year.,"SELECT date, volume FROM stocks WHERE symbol = 'TSLA' AND volume = (SELECT MAX(volume) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-365 days'));",,,,,
Show me all data for AMZN in the last   90  days.,"SELECT * FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-90 days') ORDER BY date ASC;",,,,,
What was the SUM open for NFLX over the last   365  days?,"SELECT SUM(open) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days');",,,,,
What was the SUM adj_close for PG over 2023 01 01 AND 2023 12 31?,SELECT SUM(adj_close) FROM stocks WHERE symbol = 'PG' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Plot the 100-day moving average of the open price for TSLA in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-365 days');",,,,,
What was the close price for AMZN on 2025-11-21?,SELECT close FROM stocks WHERE symbol = 'AMZN' AND date = '2025-11-21';,,,,,
Find all dates where AAPL's high price was greater than 81 in the last   5 years.,"SELECT date FROM stocks WHERE symbol = 'AAPL' AND high > 81 AND date >= date('now', '-5 years');",,,,,
Calculate the total open for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the MAX move for V over 2024 01 01 AND 2024 12 31?,SELECT MAX(move) FROM stocks WHERE symbol = 'V' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Calculate the total adj_close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Plot the 20-day moving average of the high price for TSLA in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-365 days');",,,,,
Show me all data for AAPL in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'AAPL' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Plot the 20-day moving average of the open price for NVDA in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days');",,,,,
What was the volume price for GOOGL on 2023-04-23?,SELECT volume FROM stocks WHERE symbol = 'GOOGL' AND date = '2023-04-23';,,,,,
Find the date and open for TSLA's highest open price in the last year.,"SELECT date, open FROM stocks WHERE symbol = 'TSLA' AND open = (SELECT MAX(open) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-365 days'));",,,,,
Show me all data for AAPL in the last   365  days.,"SELECT * FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days') ORDER BY date ASC;",,,,,
Find the date and high for AAPL's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'AAPL' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days'));",,,,,
Find all dates where PG's adj_close price was greater than 75 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'PG' AND adj_close > 75 AND date >= date('now', '-30 days');",,,,,
Find the date and high for MSFT's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'MSFT' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
Find all dates where KO's low price was greater than 81 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'KO' AND low > 81 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Plot the 50-day moving average of the adj_close price for PG in the last year.,"SELECT date, AVG(adj_close) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'PG' AND date >= date('now', '-365 days');",,,,,
Find the date and high for NFLX's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'NFLX' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days'));",,,,,
Plot the 20-day moving average of the open price for MSFT in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days');",,,,,
What was the AVG volume for JPM over the last   180  days?,"SELECT AVG(volume) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-180 days');",,,,,
Plot the 100-day moving average of the close price for MSFT in the last year.,"SELECT date, AVG(close) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days');",,,,,
Plot the 20-day moving average of the volume price for GOOGL in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-365 days');",,,,,
Plot the 20-day moving average of the open price for KO in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-365 days');",,,,,
Show me all data for JPM in the last   90  days.,"SELECT * FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-90 days') ORDER BY date ASC;",,,,,
Calculate the total move for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(move) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the open price for JPM on 2023-10-08?,SELECT open FROM stocks WHERE symbol = 'JPM' AND date = '2023-10-08';,,,,,
Find the date and open for AAPL's highest open price in the last year.,"SELECT date, open FROM stocks WHERE symbol = 'AAPL' AND open = (SELECT MAX(open) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days'));",,,,,
What was the AVG open for NVDA over the last   5 years?,"SELECT AVG(open) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-5 years');",,,,,
What was the SUM move for KO over the last   365  days?,"SELECT SUM(move) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-365 days');",,,,,
Show me all data for MSFT in the last   180  days.,"SELECT * FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-180 days') ORDER BY date ASC;",,,,,
Find all dates where GOOGL's high price was greater than 197 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'GOOGL' AND high > 197 AND date >= date('now', '-365 days');",,,,,
Find the date and close for TSLA's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'TSLA' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-365 days'));",,,,,
What was the SUM open for PG over the last   180  days?,"SELECT SUM(open) FROM stocks WHERE symbol = 'PG' AND date >= date('now', '-180 days');",,,,,
What was the low price for AMZN on 2024-12-17?,SELECT low FROM stocks WHERE symbol = 'AMZN' AND date = '2024-12-17';,,,,,
Calculate the total close for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the MIN low for META over the last   365  days?,"SELECT MIN(low) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
What was the SUM volume for AAPL over 2023 01 01 AND 2023 12 31?,SELECT SUM(volume) FROM stocks WHERE symbol = 'AAPL' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Show me all data for GOOGL in 2024 01 01 AND 2024 12 31.,SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= 2024-01-01' AND '2024-12-31 ORDER BY date ASC;,,,,,
Show me all data for KO in the last   5 years.,"SELECT * FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-5 years') ORDER BY date ASC;",,,,,
Show me all data for TSLA in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'TSLA' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Find all dates where TSLA's adj_close price was greater than 191 in the last   5 years.,"SELECT date FROM stocks WHERE symbol = 'TSLA' AND adj_close > 191 AND date >= date('now', '-5 years');",,,,,
What was the MAX open for TSLA over the last   180  days?,"SELECT MAX(open) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-180 days');",,,,,
Plot the 20-day moving average of the high price for GOOGL in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-365 days');",,,,,
Calculate the total close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Show me all data for GOOGL in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
Find all dates where AMZN's adj_close price was greater than 198 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'AMZN' AND adj_close > 198 AND date >= date('now', '-30 days');",,,,,
What was the SUM close for NVDA over the last   90  days?,"SELECT SUM(close) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-90 days');",,,,,
Calculate the total high for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(high) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and volume for META's highest volume price in the last year.,"SELECT date, volume FROM stocks WHERE symbol = 'META' AND volume = (SELECT MAX(volume) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days'));",,,,,
Plot the 50-day moving average of the low price for V in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days');",,,,,
Calculate the total low for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(low) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and move for V's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'V' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
What was the low price for AAPL on 2023-04-22?,SELECT low FROM stocks WHERE symbol = 'AAPL' AND date = '2023-04-22';,,,,,
Calculate the total close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where GOOGL's open price was greater than 133 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'GOOGL' AND open > 133 AND date >= date('now', '-30 days');",,,,,
Calculate the total move for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(move) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Calculate the total adj_close for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Calculate the total adj_close for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where NVDA's open price was greater than 166 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'NVDA' AND open > 166 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Show me all data for NFLX in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
Calculate the total adj_close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Calculate the total low for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(low) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the SUM adj_close for GOOGL over the last   30  days?,"SELECT SUM(adj_close) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-30 days');",,,,,
What was the SUM high for PG over the last   365  days?,"SELECT SUM(high) FROM stocks WHERE symbol = 'PG' AND date >= date('now', '-365 days');",,,,,
Show me all data for GOOGL in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
Plot the 50-day moving average of the close price for NFLX in the last year.,"SELECT date, AVG(close) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days');",,,,,
Find all dates where TSLA's open price was greater than 156 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'TSLA' AND open > 156 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Show me all data for META in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'META' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
What was the SUM open for NVDA over the last   365  days?,"SELECT SUM(open) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days');",,,,,
Plot the 100-day moving average of the volume price for NVDA in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days');",,,,,
What was the MIN low for V over 2024 01 01 AND 2024 12 31?,SELECT MIN(low) FROM stocks WHERE symbol = 'V' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Show me all data for JPM in the last   180  days.,"SELECT * FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-180 days') ORDER BY date ASC;",,,,,
Show me all data for NFLX in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
What was the MIN high for MSFT over 2023 01 01 AND 2023 12 31?,SELECT MIN(high) FROM stocks WHERE symbol = 'MSFT' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
What was the AVG low for KO over the last   180  days?,"SELECT AVG(low) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-180 days');",,,,,
Show me all data for NFLX in the last   5 years.,"SELECT * FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-5 years') ORDER BY date ASC;",,,,,
Find the date and close for V's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'V' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
What was the open price for GOOGL on 2025-04-13?,SELECT open FROM stocks WHERE symbol = 'GOOGL' AND date = '2025-04-13';,,,,,
What was the high price for V on 2023-01-28?,SELECT high FROM stocks WHERE symbol = 'V' AND date = '2023-01-28';,,,,,
What was the SUM adj_close for AMZN over the last   365  days?,"SELECT SUM(adj_close) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days');",,,,,
What was the MAX volume for JPM over 2024 01 01 AND 2024 12 31?,SELECT MAX(volume) FROM stocks WHERE symbol = 'JPM' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
What was the MIN volume for TSLA over 2023 01 01 AND 2023 12 31?,SELECT MIN(volume) FROM stocks WHERE symbol = 'TSLA' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Find the date and low for META's highest low price in the last year.,"SELECT date, low FROM stocks WHERE symbol = 'META' AND low = (SELECT MAX(low) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days'));",,,,,
Plot the 50-day moving average of the adj_close price for V in the last year.,"SELECT date, AVG(adj_close) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days');",,,,,
Find the date and close for V's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'V' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
Find the date and open for NFLX's highest open price in the last year.,"SELECT date, open FROM stocks WHERE symbol = 'NFLX' AND open = (SELECT MAX(open) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days'));",,,,,
What was the MAX move for GOOGL over the last   180  days?,"SELECT MAX(move) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-180 days');",,,,,
Show me all data for JPM in the last   180  days.,"SELECT * FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-180 days') ORDER BY date ASC;",,,,,
Plot the 50-day moving average of the low price for V in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days');",,,,,
What was the move price for META on 2025-09-14?,SELECT move FROM stocks WHERE symbol = 'META' AND date = '2025-09-14';,,,,,
Plot the 50-day moving average of the open price for JPM in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-365 days');",,,,,
Calculate the total open for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the move price for AAPL on 2024-12-09?,SELECT move FROM stocks WHERE symbol = 'AAPL' AND date = '2024-12-09';,,,,,
